sample,cksum
weizmann_daria_bend_40.avi,b7e2b7145bfff7e05f1dc0837841aaba
weizmann_daria_jump_35.avi,dc93ba9a0c524196470e90afa26e493d
weizmann_daria_pjump_44.avi,2b6d5bd627b36b68b5d52209bc66f65e
weizmann_daria_run_57.avi,52d305337ce9e46156bc01ff38c961b4
weizmann_daria_walk_29.avi,1e8717f165d9594e44e7542ebd3b0b25
weizmann_daria_wave1_53.avi,6a659e72cbf6f661db1a4daa5808c906
weizmann_daria_wave2_3.avi,9d4f0d5e646efae4a519b1bc834c8592
weizmann_denis_bend_5.avi,cd900f53603e9eb8197533ac7e9a5318
weizmann_denis_jump_43.avi,43749476bd355cf2ffe8653ef9b87843
weizmann_denis_pjump_12.avi,5c494e5ead708108f16a1915ccdcaba8
weizmann_denis_run_54.avi,0650d53b6619c69e427da6065d007fb0
weizmann_denis_walk_45.avi,65b97448f2c5b3ffb0dfbccb8015f5da
weizmann_denis_wave1_55.avi,fa5ae45aa0dadb6210fd4ddb84484904
weizmann_denis_wave2_0.avi,7fb03543f5f6588c69c194c1f539df52
weizmann_eli_bend_11.avi,167f27b6960645144bf9bc4c995ba859
weizmann_eli_jump_18.avi,cabd53984349ff1f664cfd04d8a6e2fd
weizmann_eli_pjump_26.avi,1f2adcdc7086a7ea56b1d71dae972c5e
weizmann_eli_run_8.avi,53d1d27eaf60d393c949dadb2cf7a065
weizmann_eli_walk_36.avi,6eda6415b4bdabb0370876aa81fee101
weizmann_eli_wave1_15.avi,6f191c12b27401638b2dfb6ff69da65e
weizmann_eli_wave2_20.avi,8602fea66918137723a1bf9fce10ae0e
weizmann_ido_bend_37.avi,5fcda4e16b7faaa20ddceb809e984028
weizmann_ido_jump_24.avi,d52e7cd251e17d1c8d0120f1068f5b26
weizmann_ido_pjump_22.avi,f986e7e6e47909f41bb4e65f9b0058f3
weizmann_ido_run_48.avi,6ebb4fe244c35c7cee44b9dadefea1a1
weizmann_ido_walk_58.avi,40da741a11d74b268efcf0516a09394a
weizmann_ido_wave1_30.avi,35f1f6bcb75b44c16fcdecfb6c702f05
weizmann_ido_wave2_56.avi,f5c4e1f8374897ee0d6601a837d1ef5a
weizmann_ira_bend_42.avi,743ac290964b4dcd7f0e927869b24d06
weizmann_ira_jump_28.avi,595c52177f2308cf8f21014b628ca13d
weizmann_ira_pjump_13.avi,c45123b6050b0981051e76dacc2238d6
weizmann_ira_run_38.avi,9e0eb6971820e41498be5baa7fd2e957
weizmann_ira_walk_46.avi,53f71f219e00d2bd00dc8e4fbd9bcd2d
weizmann_ira_wave1_10.avi,94e5bc270728a3967278b4eb50227c03
weizmann_ira_wave2_2.avi,5d3cbe46588d853818f2632352c8d756
weizmann_lena_bend_21.avi,c1ca2f21b0304fd0a7e6b856555faa2e
weizmann_lena_jump_6.avi,858eaa2f5d89899c3366f05df236964d
weizmann_lena_pjump_31.avi,f4ae368b6d1dfc3878eb1d52f86e5b4c
weizmann_lena_wave1_16.avi,ac71d2d10b98998d1ddc5fe64d262e26
weizmann_lena_wave2_60.avi,0b6980cfd9e4b6d3ca1c441a498cac3e
weizmann_lyova_bend_14.avi,7da7092b34c47f334f794bbbd34a29ef
weizmann_lyova_jump_27.avi,f7238ea92f9b7cf7928a981e06667a3e
weizmann_lyova_pjump_23.avi,51fa71cc253349e7da05da34d6895182
weizmann_lyova_run_19.avi,cf46cfa599d79431c228b256442ced3d
weizmann_lyova_walk_17.avi,e879ac48461e1ed46822d27bc1fd46ca
weizmann_lyova_wave1_1.avi,2dea516a93a8a94b261e0ca717c360fb
weizmann_lyova_wave2_59.avi,430f92ec7c1bc6a56efb5e4daeaf0a97
weizmann_moshe_bend_7.avi,38436c106aff68918213470acc24e6ac
weizmann_moshe_jump_39.avi,26449f4085f5e70477e447a0a3345b50
weizmann_moshe_pjump_52.avi,1246618e5fdd0aa7dbe6dc36a6437d99
weizmann_moshe_run_51.avi,736d597477dccbfef33b930c1a93d48a
weizmann_moshe_walk_32.avi,8c850e35f2b3cb581dbd09f2f6a0d1f3
weizmann_moshe_wave1_49.avi,9354391858d18a2cd435ca8d2eb9ad06
weizmann_moshe_wave2_47.avi,3060087b76982113e2cbce33eb617921
weizmann_shahar_bend_33.avi,e66f133c2c5609f2e2f54fe9f03f94e0
weizmann_shahar_jump_4.avi,fba0d67339682a2741304821aafc7aaf
weizmann_shahar_pjump_50.avi,e6c2057b092370f2d18dd6aea074665f
weizmann_shahar_run_41.avi,dfb6a5d0e371ab59821f390bbe2fc87c
weizmann_shahar_walk_9.avi,fdb1daeea80cde88eb78fb9fdad743ec
weizmann_shahar_wave1_25.avi,7bef28abbc2b45fb78f9910421a853dd
weizmann_shahar_wave2_34.avi,d9329c4c7f1b2f2f712f84ea0681841c
